TIPOS DE CONDENA,CANTIDAD,PORCENTAJE,Población infantil: ,PORC
DETENCIÓN PREVENTIVA,2463,24.3982169390788,6881725,0.146692871336765
PRISIÓN PREVENTIVA DEL DIRECTOR PROVINCIAL,182,1.80287270926201,,
CUSTODIA SEGURA,531,5.26002971768202,,
CUSTODIA ABIERTA,304,3.01139177810797,Porcentaje de detenidos vs pob.,
PARTE COMUNITARIA DE LA SUPERVISIÓN DE CUSTODIA,560,5.54730064388311,0.146692871336765,
APOYO INTENSIVO Y SUPERVISIÓN,84,0.832095096582467,,
CUSTODIA Y SUPERVISIÓN DIFERIDA,309,3.06092124814264,,
LIBERTAD CONDICIONAL SUPERVISADA,3095,30.6587419514611,,
OTRAS SENTENCIAS COMUNITARIAS,2567,25.4284299157999,,
SUMA TOTAL,10095,100,,
